District,pct_ICU,daily_tests_per_million_14ma,TPR,rate_increase_new_cases,daily_cases_per_million,category,dates,is_change
Nanded,100,499.1345858752091,2.099942467329662,3.718199608610559,935.6521242427019,RED,2021-01-15,False
Nanded,100,494.66300949151577,2.002819704760325,-1.8633540372670896,865.7385314932473,RED,2021-01-16,False
Nanded,100,491.6682840235375,1.9190654985398414,-10.869565217391322,916.6118266428505,RED,2021-01-17,False
Nanded,100,487.68899127841587,2.115578734858681,3.1809145129224734,572.3989465955353,RED,2021-01-18,False
Nanded,100,483.21741489472254,2.1096867306222937,5.835010060362167,682.4756670946767,RED,2021-01-19,False
Nanded,100,477.49461759632584,1.9975084840414108,-0.43010752688170817,896.9765197430036,RED,2021-01-20,False
Nanded,100,475.4844594054912,1.8894784521806651,-9.360730593607313,858.5984198933029,RED,2021-01-21,False
Nanded,100,471.42311938727426,1.8665970499934734,-13.053613053613065,826.7654223435512,RED,2021-01-22,False
Nanded,100,468.1412284634626,1.8665381413486395,-20.422535211267622,802.3700410437415,RED,2021-01-23,False
Nanded,100,467.6079211883432,1.8511207615037066,-18.246445497630344,818.7327967936138,RED,2021-01-24,False
Nanded,100,472.44871030096544,1.671514783137238,-33.76623376623376,548.0035652957256,RED,2021-01-25,False
Nanded,100,472.2846157547748,1.6547231270358307,-33.33333333333332,715.4986832444191,RED,2021-01-26,False
Nanded,100,466.72591300256875,1.5206117605695701,-43.93063583815027,645.8825951449621,RED,2021-01-27,False
Nanded,100,467.9155984624505,1.7709977204979834,-24.257425742574245,859.4909338432959,RED,2021-01-28,False
Nanded,100,470.7257175659643,1.6689180356442546,-33.42036553524804,824.3853851435698,RED,2021-01-29,False
Nanded,100,472.98201757608484,1.643609870332625,-27.44063324538258,782.437229493897,RED,2021-01-30,False
Nanded,100,470.15138665429726,1.5487980454604948,-29.57746478873238,769.0495202440014,RED,2021-01-31,False
Nanded,100,469.88473301673747,1.4711017984983412,-49.25816023738872,579.5390581954796,RED,2021-02-01,False
Nanded,100,470.68469392941665,1.4555279557240597,-48.80239520958084,573.2914605455284,RED,2021-02-02,False
Nanded,100,468.12071664518874,1.3933923407238629,-46.22641509433962,890.133912793057,RED,2021-02-03,False
Nanded,100,465.2695739051274,1.3666622580787373,-41.29032258064516,813.972722393651,RED,2021-02-04,False
Nanded,100,460.8390211579815,1.3174878710998352,-44.932432432432435,781.8422201939017,RED,2021-02-05,False
Nanded,100,453.6393729438697,1.510218846084283,-27.544910179640706,823.4928711935768,RED,2021-02-06,False
